iter	Passed	Remaining
231	17324	57350
232	17417	57336
233	17476	57209
234	17527	57057
235	17609	57005
236	17685	56936
237	17783	56938
238	17824	56756
239	17875	56607
240	17925	56453
241	17966	56276
242	18027	56161
243	18071	55993
244	18155	55947
245	18250	55937
246	18330	55881
247	18430	55886
248	18529	55885
249	18610	55832
250	18676	55732
251	18729	55593
252	18818	55563
253	18896	55497
254	18957	55386
255	19002	55227
256	19082	55169
257	19136	55035
258	19172	54851
259	19267	54837
260	19346	54778
261	19411	54679
262	19510	54673
263	19606	54661
264	19660	54529
265	19747	54489
266	19805	54372
267	19854	54230
268	19951	54216
269	20040	54182
270	20125	54137
271	20217	54110
272	20309	54084
273	20381	54002
274	20478	53987
275	20521	53832
276	20615	53808
277	20712	53793
278	20793	53735
279	20885	53705
280	20969	53654
281	21035	53558
282	21127	53528
283	21199	53446
284	21301	53440
285	21380	53375
286	21456	53305
287	21514	53189
288	21611	53167
289	21672	53060
290	21764	53028
291	21859	53000
292	21931	52920
293	22028	52897
294	22098	52812
295	22183	52760
296	22269	52711
297	22349	52647
298	22432	52593
299	22511	52526
300	22604	52492
301	22679	52419
302	22767	52373
303	22806	52214
304	22852	52074
305	22922	51988
306	23005	51930
307	23066	51823
308	23142	51753
309	23248	51746
310	23330	51687
311	23417	51638
312	23490	51558
313	23553	51456
314	23623	51371
315	23715	51332
316	23828	51340
317	23881	51218
318	23949	51126
319	24028	51061
320	24140	51064
321	24257	51076
322	24378	51095
323	24439	50990
324	24523	50933
325	24581	50822
326	24644	50720
327	24709	50624
328	24789	50559
329	24887	50529
330	24970	50468
331	25062	50426
332	25162	50400
333	25260	50368
334	25339	50300
335	25420	50236
336	25523	50214
337	25579	50099
338	25634	49983
339	25681	49852
340	25756	49775
341	25829	49695
342	25925	49658
343	26026	49632
344	26107	49567
345	26188	49499
346	26235	49371
347	26308	49291
348	26414	49272
349	26500	49214
350	26534	49062
351	26580	48931
352	26682	48905
353	26743	48803
354	26792	48679
355	26878	48622
356	26965	48568
357	27021	48457
358	27094	48376
359	27178	48316
360	27279	48287
361	27350	48203
362	27425	48127
363	27491	48034
364	27537	47908
365	27629	47860
366	27666	47718
367	27714	47596
368	27776	47498
369	27871	47456
370	27959	47402
371	28051	47355
372	28130	47285
373	28232	47255
374	28332	47220
375	28428	47178
376	28512	47117
377	28603	47066
378	28700	47026
379	28774	46947
380	28824	46829
381	28889	46736
382	28946	46632
383	29044	46592
384	29118	46513
385	29206	46458
386	29290	46395
387	29381	46343
388	29420	46210
389	29512	46160
390	29590	46088
391	29662	46006
392	29754	45956
393	29852	45914
394	29905	45805
395	29992	45746
396	30074	45680
397	30175	45641
398	30233	45540
399	30336	45504
400	30432	45459
401	30496	45364
402	30586	45310
403	30654	45223
404	30724	45137
405	30804	45068
406	30900	45022
407	30977	44948
408	31052	44869
409	31140	44812
410	31243	44774
411	31335	44721
412	31407	44639
413	31485	44566
414	31552	44478
415	31589	44347
416	31653	44254
417	31737	44188
418	31818	44120
419	31872	44014
420	31928	43911
421	31968	43786
422	32033	43696
423	32152	43678
424	32214	43583
425	32268	43479
426	32365	43432
427	32439	43353
428	32535	43305
429	32590	43201
430	32620	43064
431	32692	42983
432	32795	42944
433	32882	42883
434	32978	42833
435	33072	42781
436	33182	42750
437	33291	42716
438	33379	42655
439	33450	42573
440	33501	42465
441	33600	42418
442	33702	42375
443	33749	42262
444	33833	42196
445	33909	42121
446	34005	42069
447	34070	41980
448	34113	41863
449	34182	41779
450	34221	41657
451	34263	41540
452	34319	41440
453	34408	41381
454	34482	41302
455	34570	41241
456	34664	41187
457	34730	41099
458	34831	41054
459	34906	40977
460	34952	40866
461	35029	40792
462	35121	40734
463	35217	40682
464	35296	40609
465	35381	40544
466	35469	40482
467	35518	40375
468	35602	40309
469	35685	40241
470	35769	40173
471	35842	40094
472	35926	40027
473	35996	39945
474	36077	39874
475	36161	39808
476	36230	39724
477	36277	39616
478	36376	39566
479	36446	39484
480	36531	39417
481	36585	39317
482	36671	39253
483	36772	39204
484	36837	39115
485	36893	39018
486	36975	38949
487	37064	38887
488	37130	38801
489	37208	38726
490	37266	38632
491	37310	38523
492	37413	38475
493	37487	38397
494	37579	38338
495	37618	38224
496	37701	38156
497	37793	38097
498	37899	38051
499	37954	37954
500	38020	37868
501	38108	37804
502	38145	37690
503	38204	37598
504	38258	37501
505	38304	37395
506	38351	37292
507	38435	37224
508	38475	37114
509	38555	37043
510	38605	36943
511	38690	36876
512	38748	36784
513	38857	36740
514	38986	36715
515	39050	36628
516	39138	36564
517	39183	36460
518	39257	36383
519	39336	36310
520	39384	36209
521	39459	36133
522	39555	36076
523	39610	35981
524	39683	35903
525	39779	35846
526	39863	35778
527	39946	35710
528	40018	35631
529	40109	35568
530	40203	35509
531	40305	35457
532	40369	35370
533	40440	35290
534	40530	35227
535	40620	35163
536	40671	35066
537	40760	35002
538	40849	34938
539	40938	34873
540	41025	34807
541	41116	34744
542	41198	34673
543	41257	34583
544	41347	34519
545	41429	34448
546	41493	34363
547	41571	34288
548	41670	34232
549	41752	34160
550	41823	34081
551	41889	33997
552	41977	33931
553	42085	33881
554	42158	33802
555	42226	33720
556	42331	33667
557	42402	33587
558	42462	33499
559	42557	33438
560	42616	33349
561	42686	33267
562	42777	33203
563	42884	33151
564	42946	33064
565	43043	33004
566	43139	32944
567	43223	32873
568	43279	32783
569	43329	32686
570	43383	32594
571	43435	32500
572	43503	32418
573	43571	32337
574	43633	32250
575	43723	32185
576	43802	32111
577	43881	32038
578	43966	31968
579	44045	31895
580	44136	31829
581	44199	31744
582	44278	31670
583	44322	31572
584	44386	31487
585	44462	31411
586	44533	31332
587	44630	31271
588	44700	31191
589	44768	31110
590	44852	31039
591	44928	30964
592	44989	30878
593	45069	30805
594	45151	30733
595	45237	30664
596	45334	30602
597	45412	30527
598	45505	30463
599	45584	30389
600	45668	30319
601	45777	30264
602	45842	30181
603	45927	30111
604	46034	30055
605	46084	29962
606	46165	29889
607	46236	29810
608	46302	29727
609	46368	29645
610	46414	29550
611	46512	29488
612	46606	29423
613	46668	29338
614	46741	29261
615	46812	29181
616	46898	29111
617	46975	29036
618	47050	28960
619	47153	28900
620	47224	28821
621	47324	28759
622	47371	28665
623	47438	28585
624	47547	28528
625	47645	28465
626	47749	28405
627	47821	28327
628	47899	28252
629	48008	28195
630	48095	28125
631	48200	28066
632	48301	28004
633	48399	27940
634	48482	27867
635	48536	27778
636	48613	27702
637	48710	27638
638	48802	27570
639	48847	27476
640	48928	27403
641	48967	27306
642	49068	27243
643	49172	27182
644	49275	27120
645	49344	27040
646	49436	26972
647	49514	26896
648	49616	26834
649	49705	26764
650	49808	26702
651	49913	26640
652	49989	26563
653	50051	26479
654	50134	26406
655	50247	26349
656	50311	26266
657	50362	26176
658	50451	26106
659	50537	26034
660	50633	25968
661	50700	25886
662	50776	25809
663	50836	25724
664	50932	25657
665	51020	25586
666	51108	25516
667	51183	25438
668	51273	25368
669	51353	25293
670	51452	25227
671	51510	25141
672	51568	25056
673	51632	24973
674	51729	24906
675	51822	24837
676	51910	24766
677	52007	24699
678	52090	24625
679	52200	24564
680	52302	24500
681	52368	24418
682	52434	24336
683	52511	24259
684	52609	24192
685	52684	24114
686	52786	24049
687	52852	23967
688	52920	23887
689	53015	23818
690	53067	23730
691	53131	23648
692	53249	23589
693	53308	23505
694	53366	23419
695	53467	23353
696	53557	23282
697	53642	23209
698	53714	23130
699	53806	23059
700	53898	22989
701	53998	22922
702	54075	22845
703	54182	22781
704	54278	22712
705	54333	22626
706	54409	22548
707	54496	22476
708	54563	22394
709	54662	22327
710	54741	22250
711	54789	22162
712	54867	22085
713	54911	21995
714	54993	21920
715	55072	21844
716	55156	21770
717	55249	21699
718	55335	21626
719	55409	21548
720	55499	21476
721	55574	21398
722	55686	21335
723	55786	21266
724	55868	21191
725	55923	21106
726	55983	21022
727	56029	20934
728	56099	20854
729	56170	20775
730	56271	20707
731	56357	20633
732	56452	20563
733	56526	20485
734	56625	20416
735	56741	20352
736	56829	20279
737	56921	20207
738	57018	20137
739	57086	20057
740	57166	19981
741	57217	19895
742	57297	19818
743	57401	19750
744	57463	19668
745	57536	19590
746	57624	19516
747	57695	19437
748	57768	19359
749	57874	19291
750	57938	19210
751	58012	19131
752	58072	19049
753	58184	18983
754	58239	18898
755	58316	18821
756	58398	18746
757	58489	18673
758	58554	18592
759	58615	18510
760	58671	18426
761	58755	18351
762	58854	18281
763	58958	18212
764	59051	18140
765	59140	18066
766	59227	17992
767	59281	17907
768	59338	17824
769	59395	17741
770	59476	17665
771	59562	17591
772	59620	17508
773	59714	17435
774	59814	17365
775	59922	17297
776	60019	17225
777	60072	17141
778	60153	17065
779	60226	16986
780	60292	16906
781	60376	16831
782	60467	16757
783	60532	16677
784	60568	16588
785	60648	16512
786	60699	16428
787	60760	16346
788	60813	16263
789	60911	16191
790	60983	16113
791	61070	16038
792	61142	15960
793	61250	15891
794	61333	15815
795	61403	15736
796	61500	15664
797	61580	15588
798	61682	15517
799	61759	15439
800	61836	15362
801	61946	15293
802	62048	15222
803	62129	15146
804	62218	15071
805	62296	14994
806	62382	14919
807	62451	14839
808	62559	14769
809	62643	14694
810	62705	14613
811	62761	14531
812	62826	14450
813	62899	14372
814	62985	14297
815	63036	14214
816	63127	14139
817	63200	14061
818	63258	13980
819	63333	13902
820	63434	13830
821	63509	13752
822	63550	13667
823	63639	13592
824	63713	13514
825	63786	13436
826	63845	13355
827	63936	13281
828	63990	13199
829	64087	13126
830	64181	13052
831	64251	12973
832	64347	12900
833	64416	12821
834	64483	12742
835	64561	12665
836	64625	12585
837	64723	12512
838	64796	12434
839	64894	12360
840	64939	12277
841	65028	12202
842	65095	12123
843	65178	12047
844	65275	11973
845	65372	11899
846	65466	11825
847	65528	11745
848	65573	11662
849	65685	11591
850	65769	11515
851	65851	11438
852	65915	11359
853	66006	11284
854	66077	11206
855	66169	11131
856	66229	11051
857	66306	10973
858	66389	10897
859	66449	10817
860	66554	10744
861	66616	10664
862	66684	10586
863	66745	10506
864	66817	10428
865	66879	10348
866	66931	10267
867	67037	10194
868	67144	10121
869	67218	10044
870	67287	9965
871	67384	9891
872	67475	9816
873	67535	9736
874	67639	9662
875	67746	9589
876	67872	9519
877	67941	9440
878	68045	9366
879	68164	9295
880	68219	9214
881	68327	9141
882	68457	9070
883	68549	8995
884	68680	8924
885	68773	8848
886	68872	8774
887	68929	8693
888	68994	8614
889	69082	8538
890	69135	8457
891	69234	8382
892	69340	8308
893	69444	8233
894	69507	8154
895	69592	8077
896	69688	8002
897	69794	7927
898	69872	7850
899	69954	7772
900	70029	7694
901	70098	7616
902	70145	7534
903	70242	7459
904	70297	7379
905	70425	7306
906	70550	7233
907	70612	7154
908	70695	7077
909	70759	6998
910	70829	6919
911	70891	6840
912	70970	6762
913	71031	6683
914	71151	6609
915	71240	6532
916	71277	6451
917	71386	6376
918	71450	6297
919	71557	6222
920	71646	6145
921	71715	6067
922	71756	5986
923	71876	5911
924	71986	5836
925	72075	5759
926	72134	5680
927	72228	5603
928	72295	5525
929	72395	5449
930	72466	5370
931	72548	5293
932	72633	5215
933	72753	5141
934	72852	5064
935	72928	4986
936	72994	4907
937	73052	4828
938	73135	4751
939	73196	4672
940	73283	4594
941	73332	4515
942	73432	4438
943	73557	4363
944	73650	4286
945	73743	4209
946	73845	4132
947	73927	4055
948	74031	3978
949	74127	3901
950	74201	3823
951	74327	3747
952	74446	3671
953	74539	3594
954	74632	3516
955	74673	3436
956	74785	3360
957	74878	3282
958	74973	3205
959	75097	3129
960	75162	3050
961	75247	2972
962	75345	2894
963	75434	2817
964	75558	2740
965	75655	2662
966	75761	2585
967	75849	2507
968	75946	2429
969	76038	2351
970	76123	2273
971	76172	2194
972	76282	2116
973	76392	2039
974	76492	1961
975	76565	1882
976	76696	1805
977	76767	1726
978	76840	1648
979	76948	1570
980	77016	1491
981	77109	1413
982	77214	1335
983	77289	1256
984	77395	1178
985	77497	1100
986	77613	1022
987	77694	943
988	77785	865
989	77891	786
990	77983	708
991	78039	629
992	78104	550
993	78208	472
994	78290	393
995	78403	314
996	78467	236
997	78542	157
998	78629	78
999	78710	0
