iter	MAE	RMSE
167	1.699765472	2.188878846
168	1.699665562	2.188774406
169	1.699509436	2.188638634
170	1.699468595	2.188590992
171	1.699360539	2.188486726
172	1.699260374	2.18836505
173	1.699215621	2.188317732
174	1.699164993	2.188236899
175	1.699095218	2.18815209
176	1.698994234	2.188092754
177	1.698883854	2.187980097
178	1.698837664	2.187931441
179	1.698695433	2.187781724
180	1.698576785	2.187692885
181	1.69846378	2.187545713
182	1.698333286	2.187451556
183	1.698225444	2.187333653
184	1.698086046	2.187208865
185	1.697982592	2.187128716
186	1.697906362	2.187022097
187	1.697859262	2.186997154
188	1.697771668	2.186883939
189	1.697718218	2.186840812
190	1.697603761	2.186761346
191	1.697584013	2.186725695
192	1.697491355	2.186632901
193	1.69741598	2.186594601
194	1.697422566	2.186567653
195	1.6973851	2.186499778
196	1.697269764	2.186412021
197	1.697232936	2.186341919
198	1.697159528	2.18625277
199	1.697085211	2.186216503
200	1.697028891	2.186143049
201	1.696893052	2.186015448
202	1.696802393	2.185947348
203	1.696758177	2.185916593
204	1.696719635	2.185880689
205	1.696643546	2.185794658
206	1.69655266	2.185695835
207	1.696510229	2.185662264
208	1.696392998	2.185541588
209	1.696273683	2.185474516
210	1.696197654	2.185398275
211	1.696112996	2.185319298
212	1.696031897	2.185234718
213	1.695964195	2.185160627
214	1.695874585	2.185079342
215	1.695754288	2.184989866
216	1.69564368	2.184888109
217	1.695584895	2.184858241
218	1.695524949	2.184779534
219	1.695465268	2.184718033
220	1.695346822	2.184651558
221	1.69529006	2.184593559
222	1.695241882	2.184526215
223	1.695202245	2.184473324
224	1.695118976	2.184392756
225	1.69507395	2.184353565
226	1.694949165	2.184261015
227	1.694836624	2.184161609
228	1.694769781	2.184090744
229	1.694653906	2.184004455
230	1.694536891	2.18390084
231	1.694450015	2.183828944
232	1.694422713	2.183755599
233	1.694420035	2.183740851
234	1.694369076	2.183702542
235	1.69434466	2.183685517
236	1.694259612	2.183606723
237	1.694186955	2.183549741
238	1.694154515	2.183513943
239	1.694111021	2.183443378
240	1.694033468	2.183381104
241	1.694018076	2.183349255
242	1.693981521	2.183305221
243	1.693952323	2.183262948
244	1.69387173	2.183197585
245	1.693776232	2.183110596
246	1.693784105	2.18307959
247	1.693754825	2.183035447
248	1.693663357	2.182949778
249	1.693592816	2.182880411
250	1.693569591	2.182862123
251	1.693531505	2.182838132
252	1.693470521	2.182767448
253	1.69340404	2.182720696
254	1.693328194	2.182648555
255	1.693312024	2.182617484
256	1.693308865	2.182606011
257	1.693297356	2.182593771
258	1.693238864	2.182537342
259	1.693161795	2.182461062
260	1.69313861	2.182429561
261	1.693074648	2.182373899
262	1.69299864	2.182309252
263	1.69287811	2.182228358
264	1.692848109	2.182179378
265	1.692771078	2.182113179
266	1.692788341	2.182099008
267	1.69276328	2.182068869
268	1.692738712	2.182039004
269	1.692628126	2.181956098
270	1.692597367	2.181929954
271	1.692541765	2.181847565
272	1.692479727	2.181797395
273	1.692414191	2.1817551
274	1.692345391	2.181694497
275	1.692339008	2.1816897
276	1.692288749	2.181655609
277	1.692249057	2.181578457
278	1.692219696	2.181517591
279	1.692195839	2.181477566
280	1.692091653	2.181372936
281	1.691983651	2.181285642
282	1.691949121	2.181248908
283	1.69184809	2.181170073
284	1.691799668	2.181107448
285	1.691780839	2.181060223
286	1.69170539	2.180938473
287	1.691667336	2.180889726
288	1.691577764	2.180779935
289	1.691521023	2.180733842
290	1.691437691	2.180651531
291	1.691383121	2.18059226
292	1.691272319	2.180511754
293	1.691224157	2.180442147
294	1.691136849	2.180403003
295	1.69111545	2.180356445
296	1.691102329	2.180302199
297	1.691017247	2.18021202
298	1.690950856	2.180149777
299	1.690910942	2.180095537
300	1.690871131	2.180034477
301	1.690853894	2.17997855
302	1.690765986	2.179884929
303	1.690677355	2.179797523
304	1.690592581	2.179703459
305	1.690581128	2.179689981
306	1.690522869	2.179660272
307	1.690441744	2.179591544
308	1.690406764	2.17955998
309	1.690339071	2.179526184
310	1.690274362	2.179489506
311	1.690206673	2.179423774
312	1.69018118	2.17937837
313	1.690119071	2.179317423
314	1.690102933	2.179290505
315	1.690051826	2.179247799
316	1.690031702	2.179206533
317	1.689957682	2.179155099
318	1.689925558	2.179099029
319	1.689824007	2.179017599
320	1.689801505	2.178963848
321	1.68971689	2.178910249
322	1.689676875	2.17888364
323	1.689664297	2.178843153
324	1.689576878	2.178758737
325	1.689549022	2.178722056
326	1.68954687	2.178717537
327	1.689540518	2.178678637
328	1.689535379	2.178644624
329	1.689502615	2.17860722
330	1.68944305	2.178537631
331	1.689385432	2.178467901
332	1.689365375	2.178438287
333	1.689328279	2.178399103
334	1.689303507	2.178363949
335	1.68926074	2.178321086
336	1.689197645	2.17823684
337	1.689191633	2.178216694
338	1.689168501	2.178179543
339	1.689165786	2.178176837
340	1.689118025	2.178140985
341	1.68910316	2.178134391
342	1.6890278	2.178059346
343	1.688961195	2.178017302
344	1.688909214	2.177978129
345	1.688878277	2.177928425
346	1.68887665	2.177907594
347	1.6888366	2.177870913
348	1.688774988	2.177835093
349	1.688743354	2.177795713
350	1.688706833	2.177741917
351	1.688706674	2.177739437
352	1.688665906	2.177698649
353	1.688656333	2.177685879
354	1.688615365	2.177642357
355	1.688589971	2.177621672
356	1.688564484	2.177561396
357	1.688499598	2.177507948
358	1.68845777	2.177460648
359	1.688417747	2.177413384
360	1.688371543	2.177372705
361	1.688358926	2.177364593
362	1.68833292	2.17729097
363	1.688309907	2.177257314
364	1.688280696	2.177234383
365	1.688244168	2.177181044
366	1.68818842	2.177139009
367	1.688112598	2.177068508
368	1.688044965	2.177022805
369	1.688023866	2.176985062
370	1.687950464	2.176917042
371	1.687933802	2.176870305
372	1.687904766	2.176840814
373	1.687849915	2.17681487
374	1.687816569	2.176791277
375	1.68776736	2.176747698
376	1.687751184	2.176718892
377	1.687706844	2.176660155
378	1.687710509	2.176656435
379	1.687687871	2.176634798
380	1.68766047	2.17661174
381	1.687589441	2.176554107
382	1.68752393	2.176470094
383	1.687452513	2.176400127
384	1.687420474	2.176355548
385	1.687365821	2.1763098
386	1.687315462	2.176234772
387	1.687263284	2.176182191
388	1.687213682	2.176145433
389	1.687147072	2.176073478
390	1.687131872	2.176047736
391	1.687098264	2.176000832
392	1.687044454	2.175956887
393	1.686992025	2.175897851
394	1.686982468	2.175874235
395	1.686956378	2.175827025
396	1.686928635	2.17580203
397	1.686854568	2.175753692
398	1.686786681	2.175669893
399	1.686762024	2.175629508
400	1.686675894	2.175554192
401	1.686666137	2.175521785
402	1.686612111	2.175467748
403	1.686583877	2.175447697
404	1.686548868	2.175422563
405	1.686498323	2.175348971
406	1.686454715	2.175312293
407	1.686438654	2.175301333
408	1.686368113	2.175244221
409	1.686307103	2.175155208
410	1.686257626	2.175116449
411	1.68619259	2.175045345
412	1.686166467	2.1750146
413	1.686110981	2.174964445
414	1.686096372	2.174933868
415	1.686072994	2.174910631
416	1.686042259	2.174894306
417	1.686011197	2.174859327
418	1.686013012	2.174830579
419	1.685990094	2.174796735
420	1.685963432	2.174762772
421	1.685915492	2.174726184
422	1.685867875	2.174662069
423	1.685843221	2.174636159
424	1.685837033	2.174618084
425	1.685761246	2.174529474
426	1.68575514	2.174508175
427	1.685705887	2.174469632
428	1.685679564	2.174438464
429	1.685655615	2.174391498
430	1.6856087	2.174342773
431	1.685604281	2.174317815
432	1.685584094	2.174287458
433	1.685528746	2.174236566
434	1.685439932	2.174148057
435	1.685339881	2.174075542
436	1.685231868	2.17400568
437	1.685163634	2.173928148
438	1.685145573	2.173904222
439	1.685129958	2.17387896
440	1.685125461	2.173850637
441	1.685065413	2.173788445
442	1.685015113	2.173738285
443	1.684996242	2.173702287
444	1.684955384	2.173658992
445	1.684939051	2.173635636
446	1.684909538	2.173564937
447	1.684819101	2.173485673
448	1.684792853	2.173446024
449	1.68478173	2.173416735
450	1.684766627	2.173393084
451	1.684737264	2.173358812
452	1.684698707	2.173315036
453	1.684645403	2.173277229
454	1.684604051	2.173219135
455	1.684577134	2.173201268
456	1.684533122	2.173150691
457	1.684497622	2.173088511
458	1.684470528	2.173036454
459	1.684446413	2.173005956
460	1.684398063	2.172943724
461	1.684352072	2.172890036
462	1.684329433	2.172871161
463	1.684285628	2.172810798
464	1.684238108	2.172769019
465	1.684211216	2.172737499
466	1.68416291	2.17267103
467	1.684100674	2.172620699
468	1.684058162	2.172583231
469	1.684048363	2.172560502
470	1.684016055	2.17253364
471	1.683999028	2.172514073
472	1.683959239	2.1724607
473	1.683918727	2.172433513
474	1.683895456	2.172402923
475	1.683848298	2.172350628
476	1.683783586	2.172311933
477	1.68377178	2.172289425
478	1.683735692	2.17224935
479	1.683690515	2.17220899
480	1.683657131	2.172169247
481	1.683630841	2.172149542
482	1.683592015	2.172096076
483	1.68355619	2.172073909
484	1.683505935	2.172027605
485	1.683458761	2.171978338
486	1.683402893	2.171919987
487	1.683387856	2.171896343
488	1.683349266	2.171874486
489	1.683285465	2.171815463
490	1.683261241	2.17179015
491	1.683250945	2.171778386
492	1.683214204	2.17174586
493	1.683171959	2.171707608
494	1.683145178	2.171680056
495	1.683098674	2.171650628
496	1.683074637	2.171622526
497	1.683039476	2.17157052
498	1.682993406	2.171511901
499	1.682938757	2.171473421
500	1.682852828	2.171367347
501	1.682833808	2.171335101
502	1.682814679	2.171324399
503	1.682808311	2.171308418
504	1.682768134	2.171262041
505	1.682717959	2.171232906
506	1.682686964	2.171208031
507	1.682607689	2.171135403
508	1.682578659	2.171101842
509	1.682495233	2.171035832
510	1.682478324	2.170988638
511	1.682465513	2.170955881
512	1.682440889	2.170948114
513	1.68242238	2.17091891
514	1.682386961	2.170883865
515	1.682361988	2.170870721
516	1.682300414	2.170778123
517	1.682259873	2.170711131
518	1.682184234	2.170632476
519	1.682141351	2.170596614
520	1.682095062	2.170537273
521	1.682042778	2.170462005
522	1.682006422	2.170429512
523	1.681967842	2.170401005
524	1.681943948	2.170382514
525	1.681926258	2.170326866
526	1.681916283	2.170300508
527	1.681904328	2.170259869
528	1.681842027	2.170218554
529	1.68180767	2.170207705
530	1.681768926	2.170168271
531	1.681720408	2.170102602
532	1.681682204	2.170063916
533	1.681673158	2.170039159
534	1.681624137	2.169992608
535	1.681578088	2.169936329
536	1.681542634	2.169908801
537	1.68149376	2.169868907
538	1.681453713	2.16982403
539	1.681392797	2.169749344
540	1.681367269	2.169702399
541	1.681308033	2.169658288
542	1.681269126	2.169611056
543	1.681229367	2.169572162
544	1.68118614	2.16953002
545	1.681147486	2.169497952
546	1.681129182	2.169483843
547	1.681107512	2.169468374
548	1.681088289	2.169454069
549	1.681082384	2.169433307
550	1.681088054	2.169406824
551	1.681061634	2.169368232
552	1.681035961	2.169320068
553	1.680999414	2.169290247
554	1.680988941	2.169265727
555	1.68098534	2.169246544
556	1.680968534	2.169213277
557	1.68093295	2.1691976
558	1.680880956	2.169148882
559	1.680835316	2.169096447
560	1.680825437	2.1690626
561	1.680754294	2.169026275
562	1.68074345	2.168990067
563	1.680722942	2.168946369
564	1.680724338	2.168929328
565	1.680694607	2.168896027
566	1.680678406	2.168866653
567	1.680666223	2.168851726
568	1.680650009	2.168824944
569	1.680631782	2.168804267
570	1.680531932	2.16869019
571	1.680515214	2.168673098
572	1.680488597	2.168647745
573	1.680440259	2.168597559
574	1.680407696	2.16855396
575	1.680377208	2.168505453
576	1.680340516	2.168454993
577	1.680325963	2.168409257
578	1.68031945	2.16838351
579	1.680275944	2.168345477
580	1.680257619	2.168326578
581	1.68019155	2.168282173
582	1.680170027	2.168233181
583	1.680175398	2.168226174
584	1.680124027	2.168189651
585	1.680107186	2.168163809
586	1.680098021	2.168144464
587	1.680060591	2.168109845
588	1.680027772	2.168060969
589	1.679954004	2.167986013
590	1.67994269	2.167972429
591	1.679898579	2.167947295
592	1.679888296	2.1679212
593	1.679842687	2.167876751
594	1.679825851	2.167851549
595	1.679800464	2.167816871
596	1.679765662	2.167802446
597	1.679702073	2.167749377
598	1.679699347	2.167720788
599	1.679670733	2.167674245
600	1.679666492	2.167661363
601	1.67963459	2.167601623
602	1.679595816	2.167559236
603	1.679586021	2.16753146
604	1.6795731	2.167485131
605	1.679565502	2.167472232
606	1.679532504	2.167421678
607	1.679506347	2.167400902
608	1.679477416	2.16737768
609	1.679451858	2.167366427
610	1.679415155	2.167319895
611	1.679379031	2.167283803
612	1.679353773	2.167247229
613	1.679275652	2.167183566
614	1.679239246	2.16714768
615	1.679228481	2.167128539
616	1.679174415	2.16706776
617	1.679168551	2.167051905
618	1.67912087	2.167010469
619	1.679095264	2.166979905
620	1.679078561	2.166943372
621	1.679054136	2.166894806
622	1.67898446	2.166834763
623	1.678941642	2.166776703
624	1.67892989	2.166759829
625	1.678888745	2.16671934
626	1.678853488	2.166656686
627	1.678817112	2.16659843
628	1.678822092	2.166587953
629	1.678765501	2.166531814
630	1.678750635	2.166511006
631	1.678684165	2.166438978
632	1.678628179	2.166373656
633	1.678601566	2.16634366
634	1.678572364	2.166296654
635	1.678513227	2.166247113
636	1.678475099	2.166183926
637	1.678406629	2.166128556
638	1.678368143	2.166085979
639	1.678343185	2.166063557
640	1.678283267	2.166016865
641	1.678251232	2.165975088
642	1.678203791	2.165923108
643	1.678197772	2.165904036
644	1.678193191	2.165868809
645	1.678168851	2.1658357
646	1.678137142	2.16580382
647	1.678096742	2.165760424
648	1.67808838	2.165717676
649	1.678030654	2.165661555
650	1.67800289	2.165628521
651	1.677945008	2.165571248
652	1.677899939	2.165507822
653	1.677863468	2.165488912
654	1.677801706	2.165459282
655	1.677759556	2.1654184
656	1.677688922	2.165337464
657	1.677675102	2.165312082
658	1.677626334	2.165248693
659	1.677593757	2.165218648
660	1.677562896	2.165182673
661	1.677556638	2.165173046
662	1.677540884	2.165141234
663	1.6775286	2.165121161
664	1.677488859	2.165042156
665	1.677453577	2.165006741
666	1.677399246	2.164963208
667	1.677392222	2.164949001
668	1.677344329	2.164874429
669	1.67733133	2.164859524
670	1.677304744	2.164831362
671	1.677214257	2.164740428
672	1.677185636	2.164720243
673	1.677157356	2.16467909
674	1.677074142	2.164603324
675	1.677058273	2.164576524
676	1.677053602	2.164547633
677	1.677011399	2.164517902
678	1.676983627	2.16447528
679	1.676962899	2.164458656
680	1.676901089	2.164394253
681	1.676897623	2.164385634
682	1.676873229	2.164369209
683	1.676825063	2.164311698
684	1.676758352	2.164267107
685	1.676759434	2.16425984
686	1.676753229	2.164237169
687	1.676735566	2.164207725
688	1.676726288	2.16420015
689	1.676707685	2.164172391
690	1.676673187	2.164141476
691	1.67667421	2.164137364
692	1.676663293	2.164106419
693	1.676633437	2.164055215
694	1.67659114	2.164000749
695	1.676527469	2.16392269
696	1.676534193	2.163904945
697	1.67650494	2.163869378
698	1.67646998	2.163836394
699	1.676434545	2.163803253
700	1.67642245	2.163756339
701	1.676410517	2.163730738
702	1.676399011	2.16369659
703	1.676374178	2.1636751
704	1.676353058	2.163657703
705	1.676292868	2.163574679
706	1.676267859	2.163552749
707	1.676223329	2.163508643
708	1.676175708	2.163472282
709	1.676175738	2.163458408
710	1.676138853	2.163429416
711	1.676106656	2.163388692
712	1.676081579	2.163362769
713	1.676055384	2.163339528
714	1.676058548	2.163314658
715	1.676034557	2.163293634
716	1.676014958	2.163262908
717	1.675983177	2.163236365
718	1.675970193	2.163203634
719	1.675946384	2.163183094
720	1.675939281	2.16317601
721	1.675906238	2.163140103
722	1.675875682	2.163087383
723	1.675845339	2.163052539
724	1.675792685	2.163008199
725	1.675739543	2.162944697
726	1.675718088	2.162923383
727	1.67570984	2.162910813
728	1.675691399	2.162901108
729	1.675661503	2.162879511
730	1.675634016	2.162863233
731	1.675588123	2.162806127
732	1.675581636	2.162787712
733	1.675549105	2.162759304
734	1.67550824	2.162725429
735	1.675472431	2.162696377
736	1.675464106	2.162688958
737	1.675442492	2.162663826
738	1.675427266	2.16264521
739	1.675414637	2.162619356
740	1.675393239	2.162605556
741	1.675348991	2.162549958
742	1.67534056	2.162528214
743	1.675330014	2.162475413
744	1.675305215	2.162438362
745	1.675273234	2.162417522
746	1.67525699	2.162383616
747	1.675222857	2.16236018
748	1.675205383	2.162317955
749	1.67516563	2.162272547
750	1.675087035	2.162193785
751	1.675020151	2.162143087
752	1.675005733	2.162121818
753	1.674954883	2.162087393
754	1.674944585	2.162070297
755	1.674930522	2.162032362
756	1.674909366	2.162003415
757	1.674887611	2.161980324
758	1.67485642	2.161971161
759	1.674834601	2.161922638
760	1.674803972	2.16187583
761	1.67478532	2.161871851
762	1.674743409	2.161818509
763	1.67473308	2.161802921
764	1.674712573	2.161762748
765	1.674667139	2.161722287
766	1.674635852	2.161696405
767	1.674620182	2.161679867
768	1.674586747	2.161640966
769	1.674568682	2.16161616
770	1.674535775	2.161561987
771	1.674520911	2.161534718
772	1.674526037	2.161515561
773	1.674496767	2.161493129
774	1.674469406	2.161456234
775	1.674457046	2.16142308
776	1.67444875	2.161410754
777	1.674401976	2.161362707
778	1.67437194	2.161327684
779	1.674313064	2.16127623
780	1.674282454	2.161254861
781	1.674237883	2.161204503
782	1.674196839	2.161154734
783	1.67415027	2.161115899
784	1.674111263	2.161072939
785	1.674072733	2.161028813
786	1.674070879	2.161010027
787	1.674021984	2.16096151
788	1.673980152	2.160914297
789	1.673962822	2.160893479
790	1.673941359	2.160877533
791	1.673920814	2.160841757
792	1.673897087	2.160812601
793	1.673880343	2.160777419
794	1.673849211	2.160759519
795	1.673832198	2.160748031
796	1.67380741	2.160717128
797	1.673782661	2.160700811
798	1.673716588	2.160624458
799	1.673665019	2.160587058
800	1.673652975	2.160567649
801	1.673649109	2.160545738
802	1.673643555	2.160512056
803	1.673624808	2.160486231
804	1.673598179	2.160446631
805	1.673577413	2.160417596
806	1.673571727	2.160396295
807	1.673509662	2.160328177
808	1.673467712	2.16027393
809	1.673463054	2.160257856
810	1.673412919	2.160205346
811	1.673382283	2.16016784
812	1.673371406	2.160143185
813	1.673354035	2.160126532
814	1.673343943	2.1601083
815	1.673335534	2.160096476
816	1.673296981	2.1600472
817	1.673303133	2.160030308
818	1.673264182	2.15998731
819	1.673242921	2.159960027
820	1.67322325	2.159938887
821	1.673230369	2.159926084
822	1.673196924	2.159894348
823	1.673171767	2.159879839
824	1.67317853	2.159870568
825	1.673137698	2.159827383
826	1.673117783	2.159807173
827	1.673087822	2.159761624
828	1.673059415	2.159730682
829	1.673031046	2.159693423
830	1.672994152	2.15965636
831	1.672966689	2.159641028
832	1.672965341	2.159622479
833	1.672934219	2.159606154
834	1.672924979	2.159594908
835	1.672881372	2.159563681
836	1.672851076	2.159535545
837	1.672805274	2.159507357
838	1.672771781	2.159463905
839	1.672736606	2.159424424
840	1.672685719	2.159367659
841	1.67267362	2.159344075
842	1.672668965	2.159318131
843	1.672638107	2.159283914
844	1.672630848	2.159259996
845	1.672605955	2.159240476
846	1.672592203	2.15921685
847	1.672572267	2.159188089
848	1.672558986	2.15917634
849	1.672528622	2.159151718
850	1.672489482	2.159114811
851	1.672471144	2.159090658
852	1.672462103	2.15906393
853	1.672442239	2.15904062
854	1.67244164	2.159033257
855	1.67240413	2.158987693
856	1.672378974	2.158961452
857	1.672364624	2.158934836
858	1.672322781	2.158889771
859	1.672294408	2.158851999
860	1.672268354	2.158810387
861	1.672193035	2.158739294
862	1.672154979	2.158707468
863	1.672132976	2.158686091
864	1.672100584	2.158640942
865	1.672060449	2.15859168
866	1.672037083	2.158578805
867	1.672025019	2.158555346
868	1.671980219	2.158519731
869	1.671947415	2.158476269
870	1.671936455	2.158470044
871	1.671932213	2.158450826
872	1.671906306	2.158425612
873	1.671873829	2.158386501
874	1.671845361	2.158352778
875	1.671805263	2.158318293
876	1.671741046	2.158256085
877	1.671696279	2.158204422
878	1.671672501	2.158175625
879	1.671659303	2.15815926
880	1.671634896	2.15813069
881	1.671618597	2.158088208
882	1.671553197	2.158042905
883	1.671537743	2.158010551
884	1.671497855	2.157942895
885	1.671462742	2.157900419
886	1.671455207	2.157873654
887	1.671425872	2.157834014
888	1.671382928	2.1577845
889	1.671353569	2.157752212
890	1.671310324	2.157701863
891	1.671294896	2.157671119
892	1.671253504	2.157636116
893	1.671220378	2.157596051
894	1.671187635	2.157558526
895	1.671124715	2.157509598
896	1.671108007	2.157479661
897	1.671093676	2.157463961
898	1.671064588	2.157443226
899	1.671043153	2.157423428
900	1.671021175	2.157387973
901	1.67098486	2.157341411
902	1.670951014	2.157298227
903	1.670906712	2.157254038
904	1.670874568	2.157223938
905	1.670805975	2.157180886
906	1.670766268	2.157146052
907	1.670741783	2.157103389
908	1.670689058	2.157027085
909	1.670647996	2.156992032
910	1.670612493	2.156932201
911	1.670582408	2.156907528
912	1.670551089	2.156886126
913	1.670507718	2.15684841
914	1.670493929	2.156823931
915	1.670458139	2.156787343
916	1.670424098	2.156750156
917	1.670399523	2.156726525
918	1.67039985	2.156717505
919	1.670379822	2.156686335
920	1.67037591	2.156680078
921	1.670365121	2.156650794
922	1.670348599	2.156623471
923	1.670314317	2.156585234
924	1.670307457	2.156561291
925	1.670270764	2.156511093
926	1.67026541	2.156493356
927	1.670245458	2.156474906
928	1.670207679	2.156421689
929	1.670195642	2.156408341
930	1.670152636	2.156349234
931	1.670109352	2.156322017
932	1.670085213	2.156297028
933	1.67008146	2.156287069
934	1.67004963	2.156234336
935	1.67002252	2.156206393
936	1.669979459	2.156169972
937	1.669968414	2.156135781
938	1.669948096	2.156107999
939	1.669911971	2.156059016
940	1.669909136	2.156046318
941	1.669891587	2.15603185
942	1.669886897	2.156025135
943	1.669855649	2.155977215
944	1.6698338	2.155960176
945	1.669803927	2.15593009
946	1.669773382	2.155910632
947	1.669742079	2.155877854
948	1.669711393	2.155850453
949	1.669683359	2.155803423
950	1.669681149	2.155785814
951	1.669679905	2.155776457
952	1.669637936	2.155750461
953	1.669624563	2.155732546
954	1.669612377	2.155714916
955	1.669588565	2.155667809
956	1.669562117	2.155637828
957	1.669539747	2.155616432
958	1.669509619	2.155590519
959	1.669485318	2.1555578
960	1.669454246	2.155504197
961	1.669435942	2.155481133
962	1.669406131	2.155429118
963	1.669348677	2.155370293
964	1.669306016	2.155330959
965	1.669287185	2.15531392
966	1.669252489	2.155265044
967	1.669230321	2.155248092
968	1.669218755	2.155236419
969	1.66918212	2.155190677
970	1.669150424	2.155127214
971	1.669120249	2.155082196
972	1.669101466	2.155052628
973	1.669070667	2.155016029
974	1.66900617	2.154960371
975	1.66899659	2.154951203
976	1.668985489	2.154933519
977	1.668950653	2.154901735
978	1.668943824	2.154885528
979	1.668926214	2.15486974
980	1.668878853	2.15484295
981	1.668861013	2.154814601
982	1.6688502	2.154781524
983	1.668822366	2.154755655
984	1.668776867	2.154695636
985	1.668747529	2.154650681
986	1.668731939	2.154635429
987	1.668691405	2.154585789
988	1.668652395	2.154552746
989	1.668604762	2.154505346
990	1.668583001	2.154470195
991	1.668558011	2.154447976
992	1.6685502	2.154437811
993	1.668536404	2.154413174
994	1.668499456	2.154379289
995	1.668450026	2.154326718
996	1.668424885	2.154288295
997	1.668395059	2.154257442
